vehicle_id,name,status,priority,current_sources
VEH-001,1965 Restoration,REFERENCE_ENVELOPE,P2,
VEH-002,Emissions Transition,REFERENCE_ENVELOPE,P2,
VEH-003,EFI Revival,REFERENCE_ENVELOPE,P2,
VEH-004,Modern Platform,REFERENCE_ENVELOPE,P2,
VEH-005,Power Creep,REFERENCE_ENVELOPE,P2,
VEH-006,Independent Rear,REFERENCE_ENVELOPE,P2,
VEH-007,The Legend,REFERENCE_ENVELOPE,P2,
VEH-008,Reyes Aero GT,REFERENCE_ENVELOPE,P2,
VEH-009,Kade Turbo Six,REFERENCE_ENVELOPE,P2,
VEH-010,Vogel Touring Saloon,REFERENCE_ENVELOPE,P2,
VEH-011,Duquesne Big-Block,REFERENCE_ENVELOPE,P2,
VEH-012,Osei Lightweight,REFERENCE_ENVELOPE,P2,
VEH-013,Marsh Constant,REFERENCE_ENVELOPE,P2,
VEH-014,1963 Ford Falcon,NEXT_SOURCE_PASS,P2,SRC-002
VEH-015,1965 Ford Mustang,NEXT_SOURCE_PASS,P1,SRC-002
VEH-016,1965 Shelby GT350,HARD_SPEC_CAPTURED,P1,SRC-001
VEH-017,1966 Shelby GT350,NEXT_SOURCE_PASS,P1,SRC-002
VEH-018,1967 Ford Mustang,NEXT_SOURCE_PASS,P1,SRC-002
VEH-019,1967 Shelby GT500,HARD_SPEC_CAPTURED,P1,SRC-002
VEH-020,1968 Ford Mustang GT 390 / Bullitt,NEXT_SOURCE_PASS,P3,SRC-002;SRC-037
VEH-021,1968 Shelby Mustang variants,NEXT_SOURCE_PASS,P1,SRC-002
VEH-022,1969 Ford Mustang Mach 1,HARD_SPEC_CAPTURED,P1,SRC-003;SRC-002
VEH-023,1969 Ford Mustang Boss 429,NEXT_SOURCE_PASS,P2,SRC-002
VEH-024,1971 Ford Mustang SportsRoof/Mach 1,NEXT_SOURCE_PASS,P1,SRC-002
VEH-025,Mustang II / emissions-era Mustang,NEXT_SOURCE_PASS,P1,SRC-002
VEH-026,1979-1993 Fox-body Mustang family,NEXT_SOURCE_PASS,P1,SRC-009;SRC-010
VEH-027,1993 Ford Mustang GT 5.0,NEXT_SOURCE_PASS,P1,SRC-010
VEH-028,1993 Ford Mustang SVT Cobra,CALIBRATION_DETAIL_PARTIAL,P1,SRC-010
VEH-029,SN95 Mustang family,NEXT_SOURCE_PASS,P1,SRC-002
VEH-030,1996-1998 Mustang SVT Cobra 4.6 DOHC,NEXT_SOURCE_PASS,P1,SRC-002
VEH-031,New Edge Mustang GT,NEXT_SOURCE_PASS,P1,SRC-002
VEH-032,2005 Mustang GT / S197,NEXT_SOURCE_PASS,P1,SRC-002
VEH-033,2015 Mustang GT / S550,NEXT_SOURCE_PASS,P1,SRC-002
VEH-034,2018 Mustang GT,HARD_SPEC_CAPTURED,P1,SRC-004
VEH-035,2016-2020 Shelby GT350/GT350R,NEXT_SOURCE_PASS,P1,SRC-005
VEH-036,2020 Shelby GT500,CALIBRATION_DETAIL_PARTIAL,P1,SRC-007;SRC-008
VEH-037,2021 Shelby GT500,NEXT_SOURCE_PASS,P1,SRC-007
VEH-038,2022 Shelby GT500,NEXT_SOURCE_PASS,P1,SRC-006;SRC-007
VEH-039,2019 Mustang Bullitt,NEXT_SOURCE_PASS,P3,SRC-037
VEH-040,Shelby GT500E,NEXT_SOURCE_PASS,P2,
VEH-041,Shelby GT500CR,NEXT_SOURCE_PASS,P2,SRC-036
VEH-042,1967 GT500 'Eleanor'-style car,NEXT_SOURCE_PASS,P3,
VEH-043,1974 Gone in 60 Seconds 1971 Mustang SportsRoof 'Eleanor',NEXT_SOURCE_PASS,P3,
VEH-044,2000 Gone in 60 Seconds GT500-based 'Eleanor',NEXT_SOURCE_PASS,P3,
VEH-045,John Wick 1969 Mach 1 / Boss 429-styled Mustang,NEXT_SOURCE_PASS,P3,SRC-003;SRC-002
VEH-046,Porsche 911 Carrera RS 2.7,HARD_SPEC_CAPTURED,P2,SRC-011
VEH-047,Porsche 911 Turbo 3.0 (930),NEXT_SOURCE_PASS,P2,SRC-012
