vehicle,configuration,gear_ratios,final_drive,track_front_rear,tires,brakes,steering,weight_distribution,aero,cooling,measured_dynamics,service_documentation,video_evidence,source_ids,evidence
1965 Shelby GT350,1965 GT350,,,,,,,,,,,,,SRC-001,FACT_PARTIAL
2005 Ford Mustang GT,US GT 5MT,,3.55,,235/55R17,12.4-in vented F / 11.8-in vented R,15.7:1; 2.83 turns,,,,0-60 5.2 s; 1/4 13.8 @102; 70-0 183 ft; 0.87 g,Ford owner guide + Motorcraft technical resources,,WEB-FORD-2005-SPEC;WEB-CD-2005GT,FACT+MEASURED
2016 Shelby GT350,US GT350 6MT,3.253;2.233;1.611;1.243;1.000;0.629,3.73,63.3 / 63.7 in,295/35ZR19 F; 305/35ZR19 R,"394x36 mm F, Brembo 6-piston; 380x26 mm R, 4-piston",16.5:1,,,,0-60 4.3 s; 1/4 12.5 @117; 70-0 152 ft; 0.98 g,Ford technical specification / service ecosystem,,WEB-FORD-GT350-2016;WEB-CD-GT350-2016,FACT+MEASURED
2016 Shelby GT350R,US GT350R 6MT,3.253;2.233;1.611;1.243;1.000;0.629,3.73,63.3 / 63.7 in,305/30ZR19 F; 315/30ZR19 R Cup 2,"394x36 mm F, Brembo 6-piston; 380x26 mm R, 4-piston",16.5:1,,functional track aero,,0-60 3.9 s; 1/4 12.2 @119; 70-0 146 ft; 1.10 g,Ford technical specification / service ecosystem,,WEB-FORD-GT350-2016;WEB-CD-GT350-2016,FACT+MEASURED
2018 Ford Mustang GT,5.0 6MT baseline,3.24;2.10;1.42;1.00;0.81;0.62,3.55,,255/40R19 F; 275/40R19 R (Performance Package),"380x34 mm F, Brembo 6-piston; 330x25 mm R",16:1,55/45 F/R (regional Performance Package reference),front splitter / underbody aero; regional Cd 0.354,larger radiator with GT Performance Package,0-60 4.3 s; 1/4 12.6 @115; 70-0 164 ft; 0.96 g,Ford owner manual + Motorcraft resources,,WEB-FORD-MUSTANG-2018;WEB-CD-MUSTANG-2018,FACT+MEASURED
2020 Shelby GT500,US base/CFTP references,,,,305/30R20 F; 315/30R20 R,"420 mm / 16.5-in two-piece F, Brembo 6-piston",,,up to 550 lb rear downforce at 180 mph with GT4-style CFTP wing,6 heat exchangers; +50% cooling-pack airflow vs GT350; up to 230 kW powertrain + 100 kW brake heat extraction,0-60 3.4 s; 1/4 11.3 @132; 70-0 150 ft; 0.99 g,2020 GT500 supplement; Ford track maintenance/alignment docs,track alignment/tire-pressure docs indexed,WEB-FORD-GT500-FACTS;WEB-FORD-GT500-SUPPLEMENT,FACT+MEASURED
1989 Nissan Skyline GT-R R32,BNR32 road car,"5-speed manual, ratios unresolved in OEM source",,1480 / 1480 mm,225/50R16 92V,ventilated disc F/R,,,,,,Nissan TechInfo service manuals available for MY1989+,,WEB-NISSAN-R32-HERITAGE;WEB-NISSAN-TECHINFO,FACT_PARTIAL
1997 Nissan Skyline GT-R V-Spec,BCNR33 road car,"5-speed manual, ratios unresolved in OEM source",,1480 / 1490 mm,245/45ZR17,ventilated disc F/R; Brembo package noted by Nissan,,,,,,Nissan TechInfo service ecosystem,,WEB-NISSAN-R33-HERITAGE;WEB-NISSAN-TECHINFO,FACT_PARTIAL
1993 Toyota Supra Turbo,US Turbo 6MT,V160 exact ratios remain secondary-source only in this pass,,,235/45ZR17 F; 255/40ZR17 R,12.7-in vented F / 12.8-in vented R,,,factory rear wing on tested car,"sequential twin-turbo, intercooled",0-60 4.6 s; 1/4 13.1 @109; 70-0 160 ft; 0.95 g,Toyota launch/heritage docs; factory repair manual still queued,,SRC-041;WEB-TOYOTA-SUPRA-1993;WEB-CD-SUPRA-1993,FACT+MEASURED
1988 BMW M3,US E30 M3 5MT,"5-speed manual, exact ratios unresolved in BMW source",,,205/55VR15,11.0-in vented F / 11.1-in R,,,homologation aero/bodywork,,0-60 6.9 s; 1/4 15.2 @92; 70-0 179 ft; 0.81 g,BMW M heritage / workshop docs queue,,WEB-BMW-E30-M3;WEB-CD-E30-M3,FACT+MEASURED
