id,name,category,era,kind,refs,notes
VEH-001,1965 Restoration,Hero,1960s,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-002,Emissions Transition,Hero,mid-1970s,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-003,EFI Revival,Hero,late-1980s,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-004,Modern Platform,Hero,mid-1990s,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-005,Power Creep,Hero,early-2000s,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-006,Independent Rear,Hero,mid-2010s,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-007,The Legend,Hero,2022,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-008,Reyes Aero GT,Rival,multi-era,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-009,Kade Turbo Six,Rival,multi-era,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-010,Vogel Touring Saloon,Rival,multi-era,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-011,Duquesne Big-Block,Rival,multi-era,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-012,Osei Lightweight,Rival,multi-era,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-013,Marsh Constant,Rival,multi-era,WTRL fictional/canonical,,Keep fiction mechanically grounded but visually/IP-distinct.
VEH-014,1963 Ford Falcon,Ford heritage,1963,real/reference,SRC-002,
VEH-015,1965 Ford Mustang,Hero reference,1965,real/reference,SRC-002,
VEH-016,1965 Shelby GT350,Hero reference,1965,real/reference,SRC-001,
VEH-017,1966 Shelby GT350,Hero reference,1966,real/reference,SRC-002,
VEH-018,1967 Ford Mustang,Hero reference,1967,real/reference,SRC-002,
VEH-019,1967 Shelby GT500,Hero reference,1967,real/reference,SRC-002,
VEH-020,1968 Ford Mustang GT 390 / Bullitt,Hero/film reference,1968,real/reference,SRC-002;SRC-037,
VEH-021,1968 Shelby Mustang variants,Hero reference,1968,real/reference,SRC-002,
VEH-022,1969 Ford Mustang Mach 1,Hero reference,1969,real/reference,SRC-003;SRC-002,
