game,video_title,url,timestamp_status,orientation,selection,operation,consequence,test,return_persistence
"Wrench","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"My Summer Car","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"BeamNG.drive","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Automation","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Car Mechanic Simulator 2021","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Street Legal Racing: Redline","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Pacific Drive","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Forza Motorsport","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"CarX Drift Racing Online","CarX Complete Tuning Guide / Dynostand Explained","https://www.youtube.com/watch?v=Y54FhSSjM6o","Search result verified; page-level timestamp extraction unavailable",FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED
"Gran Turismo 7","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"No Limit Drag Racing 2","NocturnalBEAST tuning tutorial","https://www.youtube.com/watch?v=9bfBia-DuKQ","Search result verified; page-level timestamp extraction unavailable in this environment",FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED
"Pixel Car Racer","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Revhead","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"My Garage","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Mon Bazou","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Wreckfest","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"SnowRunner","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Expeditions: A MudRunner Game","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Mad Max","Customize Upgrade Magnum Opus Vehicle","https://www.youtube.com/watch?v=dVhLn7_kWB8","Search result verified; non-verbal garage/customization walkthrough",FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED
"Crossout","Official Crossout Tutorials: Car Building Tips","https://www.youtube.com/watch?v=vf598wMBYzA","Official tutorial search result verified",FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED,FRAME_REVIEW_REQUIRED
"Trailmakers","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Need for Speed Heat","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Hill Climb Racing 2","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Absolute Drift","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
"Does Not Commute","","","SOURCE_SELECTION_REQUIRED",SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED,SOURCE_SELECTION_REQUIRED
