image_id,subject,url,source_type,rights_note
IMG-001,1965 Shelby GT350,https://www.classic.com/veh/1965-shelby-gt350-fastback-sfm5s069-n8rVdKp/,third-party gallery,reference-only; do not redistribute without rights review
IMG-002,1993 SVT Cobra,https://www.guideautoweb.com/articles/77149/ford-mustang-cobra-1993-le-meilleur-pour-la-fin/,editorial gallery,reference-only
IMG-003,Porsche RS lineage,https://newsroom.porsche.com/en/2022/history/porsche-50-years-911-carrera-rs-2-7-germanys-fastest-sports-car-28486.html,OEM media/gallery,editorial-use terms apply
IMG-004,Nissan Skyline GT-R heritage,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/skyline_gt-r_1997.html,OEM heritage,use link/reference; verify image license before app use
IMG-005,BMW M3 generations,https://www.bmw-m.com/en/topics/magazine-article-pool/bmw-m3-generationen.html,OEM gallery,reference-only unless rights cleared
IMG-006,Lotus Elan,https://www.lotuscars.com/lotus-story/road-cars/elan,OEM heritage,reference-only unless rights cleared
IMG-007,Acura NSX,https://www.acura.com/news-and-press/press-release-detail?article=10838-en,OEM media,reference-only unless media terms permit
IMG-008,Toyota MR2 archive,https://pressroom.toyota.com/historic-vehicles/mr2/,OEM media,press-image terms apply
IMG-009,Ford Police Interceptor Utility,https://media.ford.com/content/dam/fordmedia/North%20America/US/2024/08/06/Ford%20PRO%20Explorer_PIU_Tech%20Specs%20June%202024.pdf,OEM media/spec PDF,reference-only
IMG-010,Ford GT40 heritage,https://corporate.ford.com/articles/history/ford-gt40-origins/,OEM heritage,reference-only
