source_id,publisher,title,url,type,grade,use
SRC-090,encycarpedia,Lotus Esprit Turbo (1987-1990) specifications,https://www.encycarpedia.com/lotus/87-esprit-turbo-coupe,technical archive,B,"2.174L turbo I4, 215 bhp @ 6000 rpm, 220 lb-ft @ 4250 rpm, 5MT, mid-engine RWD"
SRC-091,Ferrari S.p.A. (Ferrari.com),250 California (1957) model page,https://www.ferrari.com/en-EN/auto/250-california,OEM heritage,A,Model identity/era confirmation for 250 GT California
SRC-092,conceptcarz.com,1962 Ferrari 250 GT California SWB Specifications & Dimensions,https://www.conceptcarz.com/s18010/ferrari-250-gt-california.aspx,technical archive,B,"2953cc V12, 240 bhp @ 7000 rpm, 190 lb-ft @ 5000 rpm, 2400mm SWB wheelbase, 4MT"
SRC-093,Ferrari S.p.A. (Ferrari.com),365 GTB4 (1968) model page,https://www.ferrari.com/en-EN/auto/365-gtb4,OEM heritage,A,Model identity confirmation and 352 hp rating for 365 GTB/4 Daytona
SRC-094,encycarpedia,Ferrari 365 GTB/4 (Daytona) specs (1968-1973),https://www.encycarpedia.com/us/ferrari/68-daytona-365-gtb4-coupe,technical archive,B,"4390cc V12, torque, 2400mm wheelbase, ~1200kg curb weight, 5-speed transaxle"
SRC-095,automobile-catalog.com,1966 Ford GT40 Mk I (street version) specs review,https://www.automobile-catalog.com/car/1966/830165/ford_gt40_mk_i_street_version.html,technical archive,B,"289 V8 street tune, 335 hp @ 6000 rpm, 95in wheelbase"
SRC-096,automobile-catalog.com,1990 Lamborghini Diablo specs review,https://www.automobile-catalog.com/car/1990/1371455/lamborghini_diablo.html,technical archive,B,"492 hp, 428 lb-ft, 2650mm wheelbase, 1576kg curb weight, 5MT, RWD"
SRC-097,Lamborghini S.p.A. (Lamborghini.com),Lamborghini V12 History: Diablo,https://www.lamborghini.com/en-en/news/lamborghini-v12-history-diablo,OEM heritage,A,"5.7L-to-6.0L V12 lineage, AWD introduction, production span 1990-2001, 2903 units"
SRC-098,Ferrari S.p.A. (Ferrari.com),308 GTB (1975) model page,https://www.ferrari.com/en-EN/auto/308-gtb,OEM heritage,A,Model identity/era confirmation for 308 GTB
SRC-099,carfolio.com,1975 Ferrari 308 GTB (F106) detailed specifications,https://www.carfolio.com/ferrari-308-gtb-41998,technical archive,B,"255 bhp @ 7500 rpm, 210 lb-ft @ 5000 rpm, 2340mm wheelbase, 1100kg curb weight"
